ma_san_pham,ten_san_pham,mo_ta,avg_so_sao,total_positive,total_negative,most_popular_positive_word,most_popular_negative_word
100100001,Sáp Dưỡng Ẩm Vaseline Original Healing Jelly 49g,"Sáp Dưỡng Ẩm Vaseline Original Healing Jelly 49g là sản phẩm dưỡng ẩm đa chức năng đến từ thương hiệu Vaseline nổi tiếng của Mỹ, được làm từ 100% dầu khoáng nguyên chất tinh khiết giúp bảo vệ và khoá ẩm cho làn da, hỗ trợ làm lành các vết thương và cải thiện tình trạng da khô thô ráp, nứt nẻ, bong tróc. Sản phẩm có thể sử dụng cho nhiều vùng da khác nhau trên cơ thể như bàn tay, bàn chân, khuỷu tay, đầu gối...
  Làm sao để phân biệt hàng có trộn hay không ?
Hàng trộn sẽ không thể xuất hoá đơn đỏ (VAT) 100% được do có hàng không nguồn gốc trong đó.
Tại Hasaki, 100% hàng bán ra sẽ được xuất hoá đơn đỏ cho dù khách hàng có lấy hay không. Nếu có nhu cầu lấy hoá đơn đỏ, quý khách vui lòng lấy trước 22h cùng ngày. Vì sau 22h, hệ thống Hasaki sẽ tự động xuất hết hoá đơn cho những hàng hoá mà khách hàng không đăng kí lấy hoá đơn.
Do xuất được hoá đơn đỏ 100% nên đảm bảo 100% hàng tại Hasaki là hàng chính hãng có nguồn gốc rõ ràng.",4.833333333333333,3,0,tốt,
100140034,Mặt Nạ Ngủ Laneige Dưỡng Ẩm & Tăng Khả Năng Tự Vệ Da 70ml,"Mặt Nạ Ngủ LANEIGE Water Sleeping Mask_EX 2021 là phiên bản cải tiến mới nhất của dòng mặt nạ ngủ nổi tiếng Water Sleeping Mask đến từ thương hiệu mỹ phẩm cao cấp Laneige của Hàn Quốc, với công nghệ Sleeping Micro Biome™ & Pro-Biotics Complex giúp dưỡng ẩm và tăng khả năng tự vệ của da, hỗ trợ phục hồi sự cân bằng hệ vi sinh trên da trong suốt đêm dài, giúp da tươi mới, căng tràn sức sống hơn mỗi khi thức dậy.
 

*Lưu ý: Tác dụng có thể khác nhau tuỳ cơ địa của người dùng
Làm sao để phân biệt hàng có trộn hay không ?
Hàng trộn sẽ không thể xuất hoá đơn đỏ (VAT) 100% được do có hàng không nguồn gốc trong đó.
Tại Hasaki, 100% hàng bán ra sẽ được xuất hoá đơn đỏ cho dù khách hàng có lấy hay không. Nếu có nhu cầu lấy hoá đơn đỏ, quý khách vui lòng lấy trước 22h cùng ngày. Vì sau 22h, hệ thống Hasaki sẽ tự động xuất hết hoá đơn cho những hàng hoá mà khách hàng không đăng kí lấy hoá đơn.
Do xuất được hoá đơn đỏ 100% nên đảm bảo 100% hàng tại Hasaki là hàng chính hãng có nguồn gốc rõ ràng.",5.0,1,0,tốt,
100140042,Gel Dưỡng Ẩm Nature Republic Chiết Xuất Lô Hội 300ml,"Gel Dưỡng Ẩm Nature Republic Chiết Xuất Lô Hội 300ml là dòng gel dưỡng đa năng đến từ thương hiệu Nature Republic của Hàn Quốc, chứa 92% tinh chất lô hội có tác dụng làm mát da, cung cấp nước cho da. Đồng thời bổ sung Vitamin và các dưỡng chất giữ ẩm giúp làm mát và làm mềm dịu da. Sử dụng Nature Republic Soothing & Moisture Aloe Vera 92% Soothing Gel giúp bạn có được làn da mịn màng, tươi trẻ.
 
Làm sao để phân biệt hàng có trộn hay không ?
Hàng trộn sẽ không thể xuất hoá đơn đỏ (VAT) 100% được do có hàng không nguồn gốc trong đó.
Tại Hasaki, 100% hàng bán ra sẽ được xuất hoá đơn đỏ cho dù khách hàng có lấy hay không. Nếu có nhu cầu lấy hoá đơn đỏ, quý khách vui lòng lấy trước 22h cùng ngày. Vì sau 22h, hệ thống Hasaki sẽ tự động xuất hết hoá đơn cho những hàng hoá mà khách hàng không đăng kí lấy hoá đơn.
Do xuất được hoá đơn đỏ 100% nên đảm bảo 100% hàng tại Hasaki là hàng chính hãng có nguồn gốc rõ ràng.",4.888888888888889,3,0,tốt,
100150041,"Xịt Khoáng Vichy Làm Dịu, Củng Cố & Cấp Ẩm Cho Da 50ml","Xịt Khoáng Dưỡng Da VICHY Eau Thermale Spa Water là xịt khoáng đến từ thương hiệu dược mỹ phẩm Vichy, với 15 khoáng chất quý hiếm bao gồm sắt, Potassium, canxi , manganese, silicon,.. được công nhận bởi tác dụng giúp hỗ trợ làm dịu, củng cố và làm đẹp da hiệu quả, chống oxy hóa, ngăn ngừa da lão hóa và hỗ trợ kích hoạt quá trình tái tạo da. Sản phẩm hiện đã có mặt tại Hasaki với các dung tích:
50ml
150ml
300ml
 





Làm sao để phân biệt hàng có trộn hay không ?
Hàng trộn sẽ không thể xuất hoá đơn đỏ (VAT) 100% được do có hàng không nguồn gốc trong đó.
Tại Hasaki, 100% hàng bán ra sẽ được xuất hoá đơn đỏ cho dù khách hàng có lấy hay không. Nếu có nhu cầu lấy hoá đơn đỏ, quý khách vui lòng lấy trước 22h cùng ngày. Vì sau 22h, hệ thống Hasaki sẽ tự động xuất hết hoá đơn cho những hàng hoá mà khách hàng không đăng kí lấy hoá đơn.
Do xuất được hoá đơn đỏ 100% nên đảm bảo 100% hàng tại Hasaki là hàng chính hãng có nguồn gốc rõ ràng.",3.75,0,0,,
100150058,Xịt Khoáng Evoluderm Cấp Nước & Làm Dịu Da 400ml,"Xịt Khoáng Cung Cấp Nước Evoluderm Atomiseur Eau Pure thuộc thương hiệu Evoluderm được sản xuất, đóng gói tại Pháp đạt tiêu chuẩn GMP và ISO 9002. Với thành phần chính là nước tinh khiết nên xịt khoáng Evoluderm đảm bảo lành tính và không gây kích ứng với các loại da, thậm chí cả những người sở hữu làn da mỏng manh, nhạy cảm. Sản phẩm xịt khoáng có thể sử dụng cho cả mặt và toàn thân.
 





Làm sao để phân biệt hàng có trộn hay không ?
Hàng trộn sẽ không thể xuất hoá đơn đỏ (VAT) 100% được do có hàng không nguồn gốc trong đó.
Tại Hasaki, 100% hàng bán ra sẽ được xuất hoá đơn đỏ cho dù khách hàng có lấy hay không. Nếu có nhu cầu lấy hoá đơn đỏ, quý khách vui lòng lấy trước 22h cùng ngày. Vì sau 22h, hệ thống Hasaki sẽ tự động xuất hết hoá đơn cho những hàng hoá mà khách hàng không đăng kí lấy hoá đơn.
Do xuất được hoá đơn đỏ 100% nên đảm bảo 100% hàng tại Hasaki là hàng chính hãng có nguồn gốc rõ ràng.",4.5,3,0,thích,
100150059,Xịt Khoáng Evoluderm Cấp Nước & Làm Dịu Da 150ml,"Xịt Khoáng Cung Cấp Nước Evoluderm Atomiseur Eau Pure thuộc thương hiệu Evoluderm được sản xuất, đóng gói tại Pháp đạt tiêu chuẩn GMP và ISO 9002. Với thành phần chính là nước tinh khiết nên xịt khoáng Evoluderm đảm bảo lành tính và không gây kích ứng với các loại da, thậm chí cả những người sở hữu làn da mỏng manh, nhạy cảm. Sản phẩm xịt khoáng có thể sử dụng cho cả mặt và toàn thân.
 





Làm sao để phân biệt hàng có trộn hay không ?
Hàng trộn sẽ không thể xuất hoá đơn đỏ (VAT) 100% được do có hàng không nguồn gốc trong đó.
Tại Hasaki, 100% hàng bán ra sẽ được xuất hoá đơn đỏ cho dù khách hàng có lấy hay không. Nếu có nhu cầu lấy hoá đơn đỏ, quý khách vui lòng lấy trước 22h cùng ngày. Vì sau 22h, hệ thống Hasaki sẽ tự động xuất hết hoá đơn cho những hàng hoá mà khách hàng không đăng kí lấy hoá đơn.
Do xuất được hoá đơn đỏ 100% nên đảm bảo 100% hàng tại Hasaki là hàng chính hãng có nguồn gốc rõ ràng.",3.857142857142857,6,0,ổn,
100150065,"Xịt Khoáng Avène Cấp Nước, Làm Dịu & Giảm Kích Ứng 50ml","Xịt Khoáng Avène Thermal Spring Water là dòng sản phẩm nước xịt khoáng nổi tiếng từ thương hiệu dược mỹ phẩm Eau Thermale Avène  của Pháp. Thành phần chính là nước khoáng thiên nhiên được lấy từ dòng suối khoáng Sanite-Odile nổi tiếng, giàu khoáng chất và vi lượng thiên nhiên quý hiếm, với đặc tính làm dịu, chống oxy hóa và giúp chữa lành các thương tổn trên da. Sản phẩm dạng xịt phun sương, giúp cấp nước và làm dịu da tức thì, giảm kích ứng hiệu quả, giúp da của bạn luôn mềm mịn tự nhiên.
 
Làm sao để phân biệt hàng có trộn hay không ?
Hàng trộn sẽ không thể xuất hoá đơn đỏ (VAT) 100% được do có hàng không nguồn gốc trong đó.
Tại Hasaki, 100% hàng bán ra sẽ được xuất hoá đơn đỏ cho dù khách hàng có lấy hay không. Nếu có nhu cầu lấy hoá đơn đỏ, quý khách vui lòng lấy trước 22h cùng ngày. Vì sau 22h, hệ thống Hasaki sẽ tự động xuất hết hoá đơn cho những hàng hoá mà khách hàng không đăng kí lấy hoá đơn.
Do xuất được hoá đơn đỏ 100% nên đảm bảo 100% hàng tại Hasaki là hàng chính hãng có nguồn gốc rõ ràng.",5.0,0,0,,
100150067,"Xịt Khoáng Avène Cấp Nước, Làm Dịu & Giảm Kích Ứng 300ml","Xịt Khoáng Avène Thermal Spring Water là dòng sản phẩm nước xịt khoáng nổi tiếng từ thương hiệu dược mỹ phẩm Eau Thermale Avène  của Pháp. Thành phần chính là nước khoáng thiên nhiên được lấy từ dòng suối khoáng Sanite-Odile nổi tiếng, giàu khoáng chất và vi lượng thiên nhiên quý hiếm, với đặc tính làm dịu, chống oxy hóa và giúp chữa lành các thương tổn trên da. Sản phẩm dạng xịt phun sương, giúp cấp nước và làm dịu da tức thì, giảm kích ứng hiệu quả, giúp da của bạn luôn mềm mịn tự nhiên.
 
*Lưu ý: Tác dụng có thể khác nhau tuỳ cơ địa của người dùng
Làm sao để phân biệt hàng có trộn hay không ?
Hàng trộn sẽ không thể xuất hoá đơn đỏ (VAT) 100% được do có hàng không nguồn gốc trong đó.
Tại Hasaki, 100% hàng bán ra sẽ được xuất hoá đơn đỏ cho dù khách hàng có lấy hay không. Nếu có nhu cầu lấy hoá đơn đỏ, quý khách vui lòng lấy trước 22h cùng ngày. Vì sau 22h, hệ thống Hasaki sẽ tự động xuất hết hoá đơn cho những hàng hoá mà khách hàng không đăng kí lấy hoá đơn.
Do xuất được hoá đơn đỏ 100% nên đảm bảo 100% hàng tại Hasaki là hàng chính hãng có nguồn gốc rõ ràng.",5.0,4,1,tốt,khó_chịu
100150091,Xịt Khoáng Evian Cấp Ẩm Và Làm Dịu Da 50ml,"Xịt Khoáng Evian Cấp Ẩm Và Làm Dịu Da là sản phẩm xịt khoáng đến từ thương hiệu mỹ phẩm Evian của Pháp, thành phần nước khoáng từ tự nhiên giúp làm mát tức thì, cung cấp độ ẩm, dưỡng da mềm mại hơn đồng thời giữ cố định lớp trang điểm mang đến làn da tươi tắn, rạng ngời.
Xịt Khoáng Evian Facial Spray chứa thành phần nước khoáng được lấy trực tiếp từ nguồn nước ở dãy Alps có cao 850m so với mực nước biển, nơi tuyết tan và mưa được ngấm qua những tảng đá. Viện Y học Pháp đã nghiên cứu và phát hiện ra nguồn nước khoáng này chứa rất nhiều khoáng chất có lợi cho sức khỏe con người không ở đâu có, đặc biệt là luôn cân bằng không thay đổi trong bất cứ nhiệt độ nào.
  Làm sao để phân biệt hàng có trộn hay không ?
Hàng trộn sẽ không thể xuất hoá đơn đỏ (VAT) 100% được do có hàng không nguồn gốc trong đó.
Tại Hasaki, 100% hàng bán ra sẽ được xuất hoá đơn đỏ cho dù khách hàng có lấy hay không. Nếu có nhu cầu lấy hoá đơn đỏ, quý khách vui lòng lấy trước 22h cùng ngày. Vì sau 22h, hệ thống Hasaki sẽ tự động xuất hết hoá đơn cho những hàng hoá mà khách hàng không đăng kí lấy hoá đơn.
Do xuất được hoá đơn đỏ 100% nên đảm bảo 100% hàng tại Hasaki là hàng chính hãng có nguồn gốc rõ ràng.",5.0,3,0,tốt,
100160021,Kem Chống Nắng Vichy Có Màu Thoáng Mịn Ngăn Sạm Da 50ml,"Kem Chống Nắng Vichy Capital Soleil 3 in 1 SPF50+ 50ml là sản phẩm kem chống nắng đến từ thương hiệu Vichy - Pháp. Sản phẩm có khả năng chống nắng, chống tia UVA, UVB, chỉ số SPF50+ nhằm bảo vệ làn da khỏi tác hại của ánh nắng mặt trời. Bên cạnh đó, sản phẩm còn giúp chống ô nhiễm và bụi mịn, chức năng 3 trong 1 rất tiện lợi.
Kem Chống Nắng Vichy Capital Soleil 3 in 1 SPF50+ hiện đã có tại Hasaki với 3 phân loại:
Kem Chống Nắng Vichy Capital Soleil Anti-Dark Spot 3-In-1 SPF50+ Thoáng Mịn Ngăn Sạm Da Có Màu 50ml
Kem Chống Nắng Vichy Capital Soleil Anti-Ageing 3-In-1 SPF50 Bảo Vệ & Giảm Các Dấu Hiệu Lão Hóa 50ml
Kem Chống Nắng Vichy Capital Soleil Mattifying 3 in 1 SPF50+ Chống Bụi Mịn Cho Da Dầu Mụn 50ml
Thông tin sản phẩm:
1. Kem Chống Nắng Vichy Capital Soleil Anti-Dark Spot 3-In-1 SPF50+ Thoáng Mịn Ngăn Sạm Da Có Màu 50ml
Kem Chống Nắng Vichy Capital Soleil Anti-Dark Spot 3-In-1 SPF50+ là sản phẩm dành cho tình trạng da sạm, xỉn màu, đốm sắc tố. Công thức sử dụng màng lọc chống nắng tối ưu giúp bảo vệ da trước tia UVA và UVB, cùng thành phần chính từ Phe-Resorcinol và nước khoáng núi lửa Vichy nuôi dưỡng da hiệu quả, ngăn ngừa sạm da, giảm thâm nám. Sản phẩm có màu nhẹ giúp che phủ khuyết điểm tự nhiên.
  *Lưu ý: Tác dụng có thể khác nhau tuỳ cơ địa của người dùng
Làm sao để phân biệt hàng có trộn hay không ?
Hàng trộn sẽ không thể xuất hoá đơn đỏ (VAT) 100% được do có hàng không nguồn gốc trong đó.
Tại Hasaki, 100% hàng bán ra sẽ được xuất hoá đơn đỏ cho dù khách hàng có lấy hay không. Nếu có nhu cầu lấy hoá đơn đỏ, quý khách vui lòng lấy trước 22h cùng ngày. Vì sau 22h, hệ thống Hasaki sẽ tự động xuất hết hoá đơn cho những hàng hoá mà khách hàng không đăng kí lấy hoá đơn.
Do xuất được hoá đơn đỏ 100% nên đảm bảo 100% hàng tại Hasaki là hàng chính hãng có nguồn gốc rõ ràng.",4.666666666666667,10,0,ổn,
